358,579,21
579,358,21
30,302,14
302,30,14
102,852,12
852,102,12
30,122,10
122,30,10
251,783,10
783,251,10
30,179,9
47,852,9
179,30,9
179,302,9
302,179,9
852,47,9
102,306,8
179,783,8
306,102,8
306,852,8
783,179,8
852,306,8
30,527,7
30,783,7
47,582,7
261,539,7
527,30,7
539,261,7
582,47,7
582,852,7
783,30,7
852,582,7
30,30,6
32,391,6
47,102,6
102,47,6
102,102,6
251,261,6
251,539,6
261,251,6
309,712,6
309,900,6
317,358,6
358,317,6
391,32,6
539,251,6
545,783,6
545,826,6
712,309,6
712,900,6
783,545,6
821,821,6
826,545,6
852,852,6
900,309,6
900,712,6
30,569,5
30,711,5
47,264,5
47,306,5
101,720,5
102,867,5
122,711,5
139,447,5
261,358,5
264,47,5
264,582,5
264,852,5
306,47,5
306,821,5
358,261,5
447,139,5
569,30,5
569,783,5
573,607,5
582,264,5
607,573,5
711,30,5
711,122,5
720,101,5
783,569,5
821,306,5
852,264,5
867,102,5
27,27,4
70,352,4
101,662,4
102,286,4
144,358,4
151,734,4
261,322,4
261,388,4
261,579,4
271,323,4
286,102,4
289,678,4
296,296,4
307,423,4
322,261,4
322,442,4
323,271,4
348,391,4
352,70,4
352,352,4
358,144,4
358,388,4
358,423,4
358,536,4
377,377,4
377,385,4
377,720,4
385,377,4
388,261,4
388,358,4
391,348,4
423,307,4
423,358,4
442,322,4
470,470,4
470,670,4
515,928,4
527,527,4
536,358,4
536,539,4
539,536,4
539,579,4
545,545,4
579,261,4
579,539,4
662,101,4
662,720,4
663,699,4
670,470,4
678,289,4
699,663,4
720,377,4
720,662,4
734,151,4
852,898,4
898,852,4
928,515,4
22,461,3
27,123,3
30,183,3
30,277,3
82,527,3
102,582,3
123,27,3
144,317,3
153,720,3
153,867,3
168,296,3
168,523,3
183,30,3
251,907,3
261,274,3
261,320,3
261,467,3
271,525,3
274,261,3
277,30,3
296,168,3
296,426,3
306,867,3
307,662,3
317,144,3
320,261,3
320,358,3
323,525,3
343,588,3
358,320,3
358,407,3
358,442,3
358,539,3
358,642,3
358,793,3
358,909,3
388,539,3
388,579,3
388,783,3
391,482,3
402,707,3
407,358,3
426,296,3
442,358,3
461,22,3
467,261,3
475,616,3
475,661,3
475,783,3
482,391,3
496,634,3
511,682,3
511,849,3
514,545,3
523,168,3
525,271,3
525,323,3
527,82,3
530,588,3
539,358,3
539,388,3
545,514,3
545,779,3
573,860,3
579,388,3
582,102,3
588,343,3
588,530,3
616,475,3
634,496,3
642,358,3
642,909,3
661,475,3
662,307,3
663,753,3
682,511,3
682,849,3
707,402,3
720,153,3
720,867,3
753,663,3
779,545,3
783,388,3
783,475,3
793,358,3
826,829,3
829,826,3
849,511,3
849,682,3
860,573,3
867,153,3
867,306,3
867,720,3
907,251,3
909,358,3
909,642,3
12,69,2
13,27,2
13,35,2
13,72,2
15,30,2
15,176,2
19,43,2
19,150,2
21,81,2
25,362,2
25,573,2
25,663,2
26,296,2
27,13,2
27,229,2
27,336,2
30,15,2
30,140,2
30,158,2
30,176,2
30,241,2
30,245,2
30,293,2
30,322,2
30,343,2
30,442,2
30,539,2
30,559,2
30,579,2
30,663,2
30,699,2
30,702,2
30,705,2
30,736,2
32,348,2
35,13,2
43,19,2
43,150,2
47,586,2
49,835,2
53,410,2
69,12,2
70,70,2
72,13,2
77,777,2
81,21,2
81,358,2
81,543,2
82,312,2
88,573,2
91,527,2
93,423,2
99,141,2
99,648,2
99,825,2
101,102,2
101,377,2
101,385,2
101,859,2
